1
16 16 RING
0 1 219.466470 0.0 0.15
0 15 219.466470 0.0 0.15
1 2 219.466470 0.0 0.15
2 3 219.466470 0.0 0.15
3 4 219.466470 0.0 0.15
4 5 219.466470 0.0 0.15
5 6 219.466470 0.0 0.15
6 7 219.466470 0.0 0.15
7 8 219.466470 0.0 0.15
8 9 219.466470 0.0 0.15
9 10 219.466470 0.0 0.15 
10 11 219.466470 0.0 0.15
11 12 219.466470 0.0 0.15
12 13 219.466470 0.0 0.15
13 14 219.466470 0.0 0.15
14 15 219.466470 0.0 0.15

# num_mols
# num_atoms num_bonds mol_name
# atom_A_index atom_B_index strength r_zero r_max

